1st_choice,2nd_choice,3rd_choice,ssc_or_olevel,hsc_or_alevel,medium,ssc_board,hsc_board,registered_program,target_dept
PHY-1,APE-2,ECE-3,4.4,3,eng,,,CS,ComputerSciandEngr
CSE-1,EEE-2,ECE-3,4.88,4.2,ban,Dhaka,Dhaka,CS,ComputerSciandEngr
MIC-1,CSE-2,ECE-3,5,5,ban,Dhaka,Dhaka,MIC,MNS
PHR-1,MIC-2,ECE-3,5,5,ban,Dhaka,Dhaka,PHR,Pharmacy
CSE-1,ARC-2,,,,ban,,,CSE,ComputerSciandEngr
EEE-1,CS-2,,5,5,ban,Barisal,Barisal,EEE,ElectricalandElectronicEngr
EEE-1,CSE-2,PHR-3,4.88,5,ban,Dhaka,Dhaka,EEE,ElectricalandElectronicEngr
PHR-1,EEE-2,ARC-3,5,4.6,ban,Dhaka,Dhaka,PHR,Pharmacy
BBA-1,ECO-2,ENG-3,5,4.6,ban,Jessore,Jessore,ENG,ENH
BBA-1,ECE-2,,5,5,ban,Jessore,Jessore,CSE,ComputerSciandEngr
ECE-1,CSE-2,EEE-3,5,5,ban,Dhaka,Dhaka,ECE,ElectricalandElectronicEngr
PHR-1,MIC-2,BIO-3,5,4.8,ban,Dhaka,Dhaka,PHR,Pharmacy
ARC-1,ECE-2,BBA-3,5,4.7,ban,Sylhet,Sylhet,ARC,Architecture
ECO-1,BBA-2,LLB-3,5,3,eng,,,ECO,ESS
ECO-1,,,5,5,ban,Dhaka,Dhaka,ECO,ESS
BBA-1,ECO-2,,5,5,ban,Rajshahi,Dhaka,BBA,Brac_Business_School
PHR-1,MIC-2,BIO-3,4.69,3.7,ban,Sylhet,Sylhet,MIC,MNS
CSE-1,APE-2,MIC-3,5,4.75,ban,Dhaka,Dhaka,MIC,MNS
EEE-1,CSE-2,,,,ban,Dhaka,Dhaka,CSE,ComputerSciandEngr
ENG-1,LLB-2,,4.69,4.1,ban,Dinajpur,Dinajpur,ENG,ENH
BBA-1,ENG-2,ANT-3,3.5,3.8,eng-ver,Dhaka,Dhaka,ENG,ENH
ECE-1,EEE-2,,,,ban,,,CSE,ComputerSciandEngr
ARC-1,ECO-2,BIO-3,5,4,eng,,,ECO,ESS
ANT-1,ENG-2,,5,4.08,ban,Dhaka,Dhaka,ANT,ESS
CSE-1,MIC-2,ECE-3,5,5,ban,Dhaka,Dhaka,MIC,MNS
EEE-1,CSE-2,,4.88,4.2,ban,Dhaka,Dhaka,CS,ComputerSciandEngr
PHR-1,EEE-2,MIC-3,4.88,5,ban,Dhaka,Dhaka,PHR,Pharmacy
CSE-1,ARC-2,,5,5,ban,Dhaka,Dhaka,CSE,ComputerSciandEngr
BIO-1,EEE-2,PHR-3,5,5,ban,Dhaka,Dhaka,BIO,MNS
BIO-1,MIC-2,PHR-3,5,4.5,eng,,,BIO,MNS
BIO-1,MIC-2,PHR-3,5,5,eng-ver,Dhaka,Dhaka,BIO,MNS
LLB-1,,,5,,ban,Dhaka,Dhaka,LLB,School_of_Law
CSE-1,EEE-2,ECE-3,4.88,5,ban,Dhaka,Dhaka,CS,ComputerSciandEngr
EEE-1,CSE-2,,5,4.6,ban,Rajshahi,Rajshahi,EEE,ElectricalandElectronicEngr
ARC-1,PHR-2,EEE-3,5,4.4,ban,Rajshahi,Rajshahi,PHR,Pharmacy
ECO-1,LLB-2,,,,ban,,,ENG,ENH
PHY-1,CSE-2,EEE-3,5,4,eng,,,APE,MNS
ENG-1,,,4.63,4.1,ban,Dhaka,Dhaka,ENG,ENH
PHR-1,ARC-2,EEE-3,4.75,5,ban,Dhaka,Dhaka,PHR,Pharmacy
LLB-1,CSE-2,,5,,ban,Dhaka,Dhaka,BBA,Brac_Business_School
ECO-1,BBA-2,ENG-3,5,4.8,ban,Chittagong,Chittagong,ENG,ENH
EEE-1,CSE-2,,5,4.8,madrasah,Madrasah,Dhaka,EEE,ElectricalandElectronicEngr
MIC-1,BIO-2,CSE-3,5,4.92,ban,Dhaka,Dhaka,MIC,MNS
CSE-1,BBA-2,ECO-3,5,4.6,ban,Dhaka,Dhaka,ECO,ESS
LLB-1,ECO-2,,4.88,5,ban,Rajshahi,Rajshahi,LLB,School_of_Law
CSE-1,BIO-2,CS-3,5,5,ban,Dhaka,Dhaka,CS,ComputerSciandEngr
EEE-1,ECE-2,,5,4.7,ban,Barisal,Dhaka,EEE,ElectricalandElectronicEngr
ENG-1,BBA-2,ECO-3,3,3.5,eng,,,ENG,ENH
PHR-1,ARC-2,ANT-3,5,5,ban,Dhaka,Dhaka,PHR,Pharmacy
BIO-1,MIC-2,CSE-3,4.75,3.9,ban,Dhaka,Dhaka,BIO,MNS
LLB-1,,,4.69,4.5,ban,Dhaka,Dhaka,LLB,School_of_Law
ANT-1,ECO-2,LLB-3,4,3,eng,CBSE,,ANT,ESS
BBA-1,ENG-2,,4.19,4.6,ban,Dhaka,Dhaka,ENG,ENH
BBA-1,ECO-2,,5,5,ban,Dhaka,Dhaka,BBA,Brac_Business_School
CSE-1,ECO-2,,5,5,ban,Dhaka,Dhaka,CS,ComputerSciandEngr
ANT-1,ENG-2,LLB-3,5,4,ban,Others,Others,ANT,ESS
ECO-1,BBA-2,ENG-3,,,ban,,,ECO,ESS
MIC-1,CSE-2,BIO-3,5,5,ban,Jessore,Jessore,MIC,MNS
BIO-1,MIC-2,PHR-3,5,5,ban,Dhaka,Dhaka,MIC,MNS
LLB-1,BBA-2,ENG-3,4.94,4.8,ban,Dhaka,Dhaka,LLB,School_of_Law
BBA-1,LLB-2,,4.69,5,ban,Comilla,Comilla,LLB,School_of_Law
BBA-1,ECO-2,,5,,eng,,,BBA,Brac_Business_School
ARC-1,ECE-2,,5,4.2,ban,Dhaka,Dhaka,CS,ComputerSciandEngr
ECO-1,ENG-2,LLB-3,5,4.6,ban,Dhaka,Dhaka,ECO,ESS
ECO-1,BBA-2,ANT-3,5,5,ban,Dhaka,Dhaka,ANT,ESS
ECO-1,BBA-2,ANT-3,4.69,5,ban,Dhaka,Dhaka,ANT,ESS
ARC-1,EEE-2,,5,4.8,ban,Jessore,Jessore,ARC,Architecture
ECO-1,LLB-2,ARC-3,,,ban,,,ECO,ESS
CSE-1,EEE-2,ECE-3,5,4.8,ban,Dhaka,Dhaka,CS,ComputerSciandEngr
BIO-1,MIC-2,ENG-3,5,5,eng,,,BIO,MNS
ARC-1,APE-2,ECO-3,5,4.25,eng,,,ARC,Architecture
BBA-1,EEE-2,,,,ban,Dhaka,Dhaka,BBA,Brac_Business_School
BBA-1,LLB-2,,3.81,,ban,Chittagong,Chittagong,BBA,Brac_Business_School
PHR-1,ARC-2,EEE-3,4.81,4.2,ban,Dhaka,Dhaka,PHR,Pharmacy
BIO-1,PHR-2,MIC-3,4.81,4.92,ban,Dhaka,Dhaka,BIO,MNS
LLB-1,,,4.38,4.7,ban,Dhaka,Dhaka,LLB,School_of_Law
CSE-1,EEE-2,,5,3.8,ban,Dhaka,Dhaka,CSE,ComputerSciandEngr
LLB-1,ENG-2,,5,5,ban,Comilla,Comilla,LLB,School_of_Law
CSE-1,EEE-2,,5,5,ban,Dhaka,Dhaka,CS,ComputerSciandEngr
ENG-1,BBA-2,ECO-3,5,,ban,Dinajpur,Dinajpur,ENG,ENH
ARC-1,ECE-2,EEE-3,5,4.2,ban,Chittagong,Chittagong,ARC,Architecture
ECE-1,ECO-2,ARC-3,5,4.67,ban,Dhaka,Dhaka,ECE,ElectricalandElectronicEngr
EEE-1,ECE-2,APE-3,4.2,,ban,,,APE,MNS
ECE-1,EEE-2,,,,ban,,,ECE,ElectricalandElectronicEngr
LLB-1,BBA-2,ENG-3,5,5,ban,Chittagong,Dhaka,LLB,School_of_Law
ECO-1,BBA-2,ANT-3,,,ban,,,ECO,ESS
EEE-1,ECE-2,APE-3,,,ban,,,EEE,ElectricalandElectronicEngr
CS-1,MAT-2,ECO-3,4.6,2.5,eng,,,CS,ComputerSciandEngr
BIO-1,MIC-2,,5,3.6,eng,,,BIO,MNS
BBA-1,BIO-2,CSE-3,5,4.6,ban,Dhaka,Dhaka,BIO,MNS
EEE-1,CSE-2,PHR-3,5,5,ban,Rajshahi,Rajshahi,EEE,ElectricalandElectronicEngr
MIC-1,BBA-2,BIO-3,5,4.3,ban,Rajshahi,Rajshahi,MIC,MNS
BBA-1,ECO-2,,4.81,4.6,ban,Chittagong,Dhaka,BBA,Brac_Business_School
PHY-1,MAT-2,APE-3,5,5,ban,Dhaka,Dhaka,PHY,MNS
BIO-1,MIC-2,ARC-3,4.8,2.5,eng,,,BIO,MNS
ARC-1,PHY-2,,,,ban,,,ARC,Architecture
PHR-1,ECE-2,,5,4.6,ban,Dhaka,Dhaka,PHR,Pharmacy
ENG-1,ANT-2,ECO-3,4.6,3.3,eng,,,ENG,ENH
ARC-1,MIC-2,EEE-3,5,5,ban,Dhaka,Dhaka,MIC,MNS
ECO-1,BBA-2,,3.6,3.5,eng,,,ECO,ESS
BBA-1,LLB-2,,4.5,5,ban,Dhaka,Dhaka,BBA,Brac_Business_School
ARC-1,EEE-2,CSE-3,5,5,ban,Dhaka,Dhaka,ARC,Architecture
EEE-1,CSE-2,,,,ban,,,CSE,ComputerSciandEngr
BBA-1,ENG-2,LLB-3,4.5,4.6,ban,Dhaka,Dhaka,LLB,School_of_Law
CSE-1,EEE-2,CS-3,5,5,ban,Dhaka,Dhaka,CS,ComputerSciandEngr
ARC-1,CSE-2,EEE-3,5,5,ban,Dhaka,Dhaka,ARC,Architecture
BBA-1,ECO-2,,5,5,ban,Dhaka,Dhaka,BBA,Brac_Business_School
BBA-1,ENG-2,ECO-3,3.44,5,eng-ver,Dhaka,Dhaka,ENG,ENH
CSE-1,ECE-2,,5,4.9,ban,Dhaka,Dhaka,CS,ComputerSciandEngr
BIO-1,PHR-2,ARC-3,5,5,ban,Dhaka,Dhaka,BIO,MNS
LLB-1,BBA-2,,4.69,4.9,ban,Dhaka,Dhaka,LLB,School_of_Law
BIO-1,MIC-2,,5,3.67,eng,,,BIO,MNS
BBA-1,ECO-2,,5,5,ban,Dhaka,Dhaka,BBA,Brac_Business_School
ANT-1,ENG-2,ECO-3,5,5,ban,Dhaka,Dhaka,ANT,ESS
BBA-1,ECO-2,,4.6,4.5,eng,,,ECO,ESS
ARC-1,BBA-2,CSE-3,5,5,ban,Chittagong,Chittagong,ARC,Architecture
ANT-1,ENG-2,LLB-3,5,4.25,ban,Comilla,Comilla,ANT,ESS
MIC-1,BIO-2,APE-3,5,5,ban,Dhaka,Dhaka,MIC,MNS
EEE-1,CSE-2,,5,5,ban,Sylhet,Sylhet,CSE,ComputerSciandEngr
ENG-1,,,4.25,4.1,ban,Dhaka,Dhaka,ENG,ENH
CSE-1,CS-2,ECE-3,5,5,ban,Barisal,Barisal,CS,ComputerSciandEngr
EEE-1,CSE-2,MIC-3,5,4.83,ban,Dhaka,Dhaka,MIC,MNS
PHY-1,APE-2,ECE-3,5,5,ban,Dhaka,Dhaka,PHY,MNS
ECE-1,CSE-2,,5,4.9,ban,Dhaka,Dhaka,ECE,ElectricalandElectronicEngr
BBA-1,ENG-2,,5,4.3,ban,Dhaka,Dhaka,BBA,Brac_Business_School
CSE-1,CS-2,ECE-3,5,4.5,eng,,,ECE,ElectricalandElectronicEngr
ARC-1,ECE-2,BBA-3,4.14,,eng,,,ARC,Architecture
ENG-1,LLB-2,BBA-3,4.81,4,ban,Dhaka,Dhaka,ENG,ENH
ARC-1,ECO-2,,3.2,3,eng,,,ARC,Architecture
ECO-1,BBA-2,ENG-3,5,5,eng,,,ECO,ESS
BBA-1,ECO-2,ENG-3,5,4.6,ban,Dhaka,Dhaka,ECO,ESS
ARC-1,ECO-2,,4.94,3.9,ban,Dhaka,Dhaka,LLB,School_of_Law
ARC-1,CS-2,APE-3,5,4.75,eng-ver,Dhaka,Dhaka,APE,MNS
CSE-1,ECE-2,,5,4.6,ban,Dhaka,Dhaka,CSE,ComputerSciandEngr
ECO-1,BBA-2,APE-3,5,5,ban,Dhaka,Dhaka,ECO,ESS
BIO-1,MIC-2,PHR-3,,,ban,,,BIO,MNS
ECO-1,BBA-2,,,,eng-ver,,,BBA,Brac_Business_School
ENG-1,CS-2,BBA-3,,,ban,Sylhet,Sylhet,ENG,ENH
MIC-1,PHR-2,BBA-3,5,5,ban,Dhaka,Dhaka,MIC,MNS
EEE-1,ECE-2,CSE-3,5,5,ban,Dhaka,Dhaka,EEE,ElectricalandElectronicEngr
PHR-1,MIC-2,ENG-3,4.69,4.42,ban,Rajshahi,Rajshahi,MIC,MNS
PHR-1,BIO-2,,5,5,ban,Dhaka,Dhaka,PHR,Pharmacy
CSE-1,ECE-2,APE-3,5,4.3,ban,Dhaka,Dhaka,CS,ComputerSciandEngr
CSE-1,EEE-2,,4.88,4.7,ban,Chittagong,Chittagong,CS,ComputerSciandEngr
LLB-1,ENG-2,,4.63,4.3,ban,Dhaka,Dhaka,LLB,School_of_Law
ECO-1,BBA-2,,,,ban,,,ECO,ESS
CSE-1,EEE-2,PHR-3,5,5,ban,Dhaka,Dhaka,CS,ComputerSciandEngr
ECO-1,BBA-2,,4.06,3.6,ban,Sylhet,Sylhet,BBA,Brac_Business_School
ARC-1,CSE-2,ECE-3,5,,ban,Chittagong,Chittagong,ARC,Architecture
EEE-1,PHR-2,MIC-3,5,4.9,ban,Dhaka,Dhaka,PHR,Pharmacy
BBA-1,EEE-2,ECE-3,5,4.7,ban,Dhaka,Dhaka,EEE,ElectricalandElectronicEngr
LLB-1,ENG-2,BBA-3,4.13,4.7,ban,Dhaka,Dhaka,LLB,School_of_Law
CSE-1,ENG-2,ARC-3,5,4.7,ban,Dhaka,Dhaka,ENG,ENH
ECO-1,LLB-2,BBA-3,,,ban,,,ECO,ESS
PHR-1,BIO-2,ARC-3,4.2,3,eng,,,PHR,Pharmacy
CSE-1,MIC-2,ARC-3,5,5,ban,Dhaka,Dhaka,MIC,MNS
ECO-1,BBA-2,,,,ban,,,ECO,ESS
PHR-1,BIO-2,,4.2,4,eng,,,BIO,MNS
CSE-1,EEE-2,,5,4.2,eng-ver,Dhaka,Dhaka,CSE,ComputerSciandEngr
MIC-1,EEE-2,CSE-3,5,4.9,ban,Dhaka,Dhaka,MIC,MNS
PHR-1,CSE-2,BIO-3,5,4.2,ban,Jessore,Dhaka,PHR,Pharmacy
CSE-1,ARC-2,APE-3,4.75,4.7,ban,Dhaka,Dhaka,MIC,MNS
CSE-1,EEE-2,,5,3.7,ban,Rajshahi,Rajshahi,CS,ComputerSciandEngr
CS-1,MAT-2,,4.8,4.2,eng,,,CS,ComputerSciandEngr
ECE-1,CSE-2,EEE-3,,,ban,,,CS,ComputerSciandEngr
ECO-1,BBA-2,,5,4.5,eng,,,ECO,ESS
BIO-1,MIC-2,BBA-3,4.56,4,ban,Dhaka,Dhaka,MIC,MNS
EEE-1,CSE-2,,,,ban,,,EEE,ElectricalandElectronicEngr
BIO-1,PHR-2,MIC-3,5,5,ban,Rajshahi,Rajshahi,PHR,Pharmacy
ECO-1,CSE-2,,4.63,3.7,ban,Dhaka,Dhaka,BBA,Brac_Business_School
ECE-1,CSE-2,,5,4.6,ban,Dhaka,Dhaka,CSE,ComputerSciandEngr
CSE-1,EEE-2,,5,4.9,ban,Dhaka,Dhaka,CSE,ComputerSciandEngr
ECO-1,ANT-2,ENG-3,4.75,4.67,ban,Dhaka,Dhaka,ANT,ESS
CS-1,EEE-2,,5,4.7,ban,Dhaka,Dhaka,EEE,ElectricalandElectronicEngr
LLB-1,ENG-2,,4.5,4.6,ban,Dhaka,Dhaka,LLB,School_of_Law
CSE-1,EEE-2,,5,3.1,ban,Dhaka,Dhaka,CSE,ComputerSciandEngr
BBA-1,ECO-2,,4.75,5,ban,Dhaka,Dhaka,BBA,Brac_Business_School
LLB-1,ENG-2,ANT-3,5,4.3,ban,Rajshahi,Rajshahi,LLB,School_of_Law
PHR-1,MIC-2,ENG-3,5,4.75,ban,Dhaka,Dhaka,MIC,MNS
ARC-1,PHR-2,MIC-3,4.85,4.5,eng,,,PHR,Pharmacy
ECO-1,BBA-2,ENG-3,4.19,4.6,ban,Chittagong,Chittagong,ECO,ESS
ENG-1,ANT-2,ECO-3,4.56,3.67,ban,Dhaka,Dhaka,ANT,ESS
CSE-1,EEE-2,,5,4,ban,Rajshahi,Rajshahi,CSE,ComputerSciandEngr
ARC-1,CSE-2,EEE-3,4.81,5,ban,Dinajpur,Dinajpur,ARC,Architecture
ENG-1,BBA-2,ECO-3,5,5,ban,Dhaka,Dhaka,ENG,ENH
BBA-1,ECO-2,,5,5,ban,Dhaka,Dhaka,BBA,Brac_Business_School
EEE-1,ECE-2,CS-3,5,4.4,ban,Dhaka,Dhaka,MIC,MNS
EEE-1,CSE-2,,5,3.9,ban,Dhaka,Dhaka,CS,ComputerSciandEngr
EEE-1,CSE-2,,4.94,4.8,ban,Chittagong,Dhaka,EEE,ElectricalandElectronicEngr
ECO-1,BBA-2,ENG-3,5,4.3,ban,Dhaka,Dhaka,ECO,ESS
MIC-1,BIO-2,ANT-3,5,5,ban,Dhaka,Dhaka,MIC,MNS
EEE-1,CSE-2,,4.56,3.9,ban,Dhaka,Dhaka,EEE,ElectricalandElectronicEngr
ARC-1,EEE-2,,5,5,ban,Dhaka,Dhaka,ARC,Architecture
ARC-1,LLB-2,CSE-3,3.94,3.3,ban,Dhaka,Dhaka,LLB,School_of_Law
BBA-1,ECO-2,ANT-3,4.88,5,ban,Dhaka,Dhaka,ANT,ESS
BBA-1,ECO-2,,4.94,5,ban,Dhaka,Dhaka,BBA,Brac_Business_School
EEE-1,PHR-2,,4.69,5,ban,Dhaka,Dhaka,EEE,ElectricalandElectronicEngr
ARC-1,,,5,4.8,ban,Dhaka,Dhaka,ARC,Architecture
EEE-1,ARC-2,,5,5,ban,Comilla,Comilla,EEE,ElectricalandElectronicEngr
BBA-1,ECE-2,,5,5,eng-ver,Dhaka,Dhaka,BBA,Brac_Business_School
CSE-1,ECE-2,,5,3.9,ban,Jessore,Jessore,CSE,ComputerSciandEngr
ECE-1,ARC-2,CS-3,5,,eng,,,ECE,ElectricalandElectronicEngr
EEE-1,CSE-2,,5,5,ban,Dhaka,Dhaka,EEE,ElectricalandElectronicEngr
BBA-1,ECO-2,,5,5,ban,Chittagong,Chittagong,BBA,Brac_Business_School
MIC-1,PHR-2,ANT-3,5,5,ban,Dhaka,Dhaka,MIC,MNS
MAT-1,,,5,5,eng,,,MAT,MNS
EEE-1,ECE-2,CSE-3,5,4.6,ban,Dhaka,Dhaka,EEE,ElectricalandElectronicEngr
CS-1,CSE-2,,,,ban,,,CS,ComputerSciandEngr
CSE-1,EEE-2,PHR-3,5,5,ban,Dhaka,Dhaka,ECE,ElectricalandElectronicEngr
CSE-1,MIC-2,,5.12,5.3,ban,Dhaka,Dhaka,PHR,Pharmacy
ECE-1,CSE-2,APE-3,4.12,,eng,,,ECE,ElectricalandElectronicEngr
BBA-1,ECO-2,,4.31,4.1,ban,Dhaka,Dhaka,BBA,Brac_Business_School
CSE-1,ECE-2,EEE-3,5,3.7,eng,,,CS,ComputerSciandEngr
CSE-1,EEE-2,,5,5,ban,Rajshahi,Rajshahi,CSE,ComputerSciandEngr
MIC-1,BIO-2,ARC-3,5,5,ban,Dhaka,Dhaka,MIC,MNS
EEE-1,BBA-2,,5,4,eng,,,CS,ComputerSciandEngr
CSE-1,EEE-2,,4.13,3.8,ban,Dhaka,Dhaka,CSE,ComputerSciandEngr
ECO-1,BBA-2,,,,ban,,,ECO,ESS
CSE-1,CS-2,EEE-3,5,3.5,eng,,,CS,ComputerSciandEngr
ECO-1,LLB-2,,5,3.9,ban,Dhaka,Dhaka,ECO,ESS
ARC-1,MIC-2,BIO-3,5,4.9,ban,Dhaka,Dhaka,ARC,Architecture
LLB-1,BBA-2,,5,4.2,ban,Chittagong,Chittagong,LLB,School_of_Law
CSE-1,PHR-2,,5,4.4,ban,Dinajpur,Dinajpur,EEE,ElectricalandElectronicEngr
BBA-1,LLB-2,,4.25,,eng-ver,Dhaka,Dhaka,BBA,Brac_Business_School
CSE-1,EEE-2,,,,ban,Dhaka,Dhaka,CSE,ComputerSciandEngr
ARC-1,BBA-2,,5,,ban,Dhaka,Dhaka,ARC,Architecture
CSE-1,ARC-2,ENG-3,5,4.6,ban,Dhaka,Dhaka,CS,ComputerSciandEngr
PHR-1,MIC-2,CSE-3,,,ban,,,PHR,Pharmacy
PHR-1,,,,,ban,,,PHR,Pharmacy
LLB-1,ENG-2,,5,3.9,ban,Sylhet,Dhaka,LLB,School_of_Law
BBA-1,ECO-2,LLB-3,4.88,4.4,ban,Dhaka,Dhaka,LLB,School_of_Law
MAT-1,ENG-2,CSE-3,4.6,,eng,,,MAT,MNS
CSE-1,EEE-2,,4.7,4,eng,,,ECO,ESS
APE-1,BIO-2,,4.8,4.5,eng,,,APE,MNS
ARC-1,BBA-2,,5,5,ban,Dhaka,Dhaka,BBA,Brac_Business_School
ARC-1,CSE-2,EEE-3,5,4.4,ban,Dhaka,Dhaka,CS,ComputerSciandEngr
ENG-1,,,4.81,4.7,eng-ver,Dhaka,Dhaka,ENG,ENH
BBA-1,ECO-2,,5,5,ban,Dhaka,Dhaka,BBA,Brac_Business_School
PHR-1,BIO-2,EEE-3,5,4.8,ban,Dhaka,Dhaka,PHR,Pharmacy
MIC-1,PHR-2,ENG-3,5,4.6,ban,Dhaka,Dhaka,MIC,MNS
PHY-1,EEE-2,APE-3,4.8,,eng,,,PHY,MNS
BBA-1,ENG-2,,4.88,4.7,ban,Dhaka,Dhaka,BBA,Brac_Business_School
PHR-1,ENG-2,,5,3.7,ban,Comilla,Comilla,PHR,Pharmacy
CSE-1,EEE-2,,4.75,4.7,ban,Jessore,Jessore,CSE,ComputerSciandEngr
BBA-1,ECO-2,,4.06,4.3,ban,Dhaka,Dhaka,BBA,Brac_Business_School
ECE-1,PHR-2,MIC-3,5,4.6,ban,Dhaka,Dhaka,MIC,MNS
PHR-1,ENG-2,CSE-3,5,4.3,ban,Rajshahi,Rajshahi,PHR,Pharmacy
ARC-1,CSE-2,EEE-3,5,4.9,ban,Dhaka,Dhaka,ARC,Architecture
PHR-1,CSE-2,EEE-3,5,5,ban,Dhaka,Dhaka,PHR,Pharmacy
CSE-1,ECE-2,EEE-3,4.94,4.5,ban,Dhaka,Dhaka,ECE,ElectricalandElectronicEngr
EEE-1,ECE-2,,5,4.8,ban,Dhaka,Dhaka,EEE,ElectricalandElectronicEngr
PHR-1,EEE-2,MIC-3,5,4.8,ban,Dhaka,Dhaka,PHR,Pharmacy
BBA-1,ECO-2,,5,5,ban,Dhaka,Dhaka,BBA,Brac_Business_School
CSE-1,PHR-2,,5,3.8,ban,Dhaka,Dhaka,CSE,ComputerSciandEngr
PHR-1,ARC-2,MIC-3,5,4.8,ban,Dhaka,Dhaka,PHR,Pharmacy
ENG-1,BBA-2,ANT-3,4.94,4.2,eng-ver,Dhaka,Dhaka,ENG,ENH
ECO-1,BBA-2,,,,ban,,,ECO,ESS
EEE-1,ECE-2,CSE-3,5,5,ban,Dhaka,Dhaka,EEE,ElectricalandElectronicEngr
ARC-1,,,5,5,ban,Dhaka,Dhaka,ARC,Architecture
PHR-1,BIO-2,,5,3.8,ban,Dhaka,Dhaka,PHR,Pharmacy
CSE-1,EEE-2,BBA-3,5,5,ban,Dhaka,Dhaka,CS,ComputerSciandEngr
ARC-1,EEE-2,,5,5,ban,Dhaka,Dhaka,ARC,Architecture
ECO-1,BBA-2,LLB-3,4.75,4.7,ban,Dhaka,Dhaka,ECO,ESS
LLB-1,ENG-2,ANT-3,4.88,5,ban,Dhaka,Dhaka,LLB,School_of_Law
CSE-1,PHR-2,MIC-3,5,5,ban,Comilla,Comilla,PHR,Pharmacy
ECO-1,BBA-2,MAT-3,,,ban,,,ECO,ESS
ENG-1,ECO-2,LLB-3,4.4,3,eng,,,ENG,ENH
BBA-1,ECO-2,,,,ban,Dhaka,Dhaka,BBA,Brac_Business_School
EEE-1,CSE-2,ECE-3,5,5,ban,Dhaka,Dhaka,EEE,ElectricalandElectronicEngr
EEE-1,ECE-2,,,,ban,,,EEE,ElectricalandElectronicEngr
BBA-1,ENG-2,,4.88,3.2,ban,Jessore,Jessore,BBA,Brac_Business_School
CSE-1,PHR-2,,5,4.8,ban,Dhaka,Dhaka,CSE,ComputerSciandEngr
ANT-1,ENG-2,LLB-3,5,4.1,ban,Dhaka,Dhaka,ANT,ESS
ARC-1,EEE-2,CSE-3,5,5,ban,Dhaka,Dhaka,ARC,Architecture
BBA-1,ECO-2,LLB-3,5,5,ban,Dhaka,Dhaka,LLB,School_of_Law
BIO-1,PHR-2,,4.88,4.4,ban,Dhaka,Dhaka,BIO,MNS
PHR-1,CSE-2,,5,5,ban,Dhaka,Chittagong,CS,ComputerSciandEngr
BBA-1,LLB-2,ENG-3,4.81,4.9,ban,Dhaka,Dhaka,LLB,School_of_Law
ECO-1,BBA-2,,4.81,4.7,ban,Dhaka,Dhaka,ECO,ESS
ECE-1,EEE-2,CSE-3,5,5,ban,Dhaka,Dhaka,ENG,ENH
EEE-1,CSE-2,PHR-3,5,5,ban,Sylhet,Sylhet,PHR,Pharmacy
ENG-1,LLB-2,ANT-3,5,4.7,ban,Rajshahi,Dhaka,ENG,ENH
CSE-1,ECE-2,,,,ban,,,ARC,Architecture
BBA-1,LLB-2,ENG-3,5,5,ban,Dhaka,Dhaka,LLB,School_of_Law
ARC-1,EEE-2,,5,4.7,ban,Dhaka,Dhaka,EEE,ElectricalandElectronicEngr
ECO-1,BBA-2,,3.2,,eng,,,ECO,ESS
BIO-1,ARC-2,,5,4.7,ban,Dhaka,Dhaka,BIO,MNS
PHR-1,MIC-2,,5,5,ban,Dhaka,Dhaka,PHR,Pharmacy
LLB-1,MIC-2,,4.44,4,ban,Dhaka,Dhaka,LLB,School_of_Law
CSE-1,EEE-2,ARC-3,5,5,ban,Dhaka,Dhaka,MIC,MNS
EEE-1,ARC-2,,,,ban,,,CSE,ComputerSciandEngr
ARC-1,CSE-2,ECO-3,5,5,ban,Dhaka,Dhaka,ECO,ESS
CSE-1,ECE-2,PHR-3,5,4,ban,Dhaka,Dhaka,PHR,Pharmacy
PHR-1,ECE-2,,4.88,4.7,ban,Dhaka,Dhaka,CS,ComputerSciandEngr
PHR-1,BIO-2,MIC-3,5,4,eng,,,PHR,Pharmacy
ARC-1,CSE-2,EEE-3,500,500,ban,Dhaka,Dhaka,EEE,ElectricalandElectronicEngr
LLB-1,ENG-2,ECO-3,4.75,4.8,ban,Dhaka,Dhaka,LLB,School_of_Law
EEE-1,ECE-2,CSE-3,5,5,ban,Rajshahi,Rajshahi,EEE,ElectricalandElectronicEngr
ARC-1,ECO-2,,5,,ban,Dhaka,Dhaka,ARC,Architecture
EEE-1,ECE-2,CSE-3,5,5,ban,Dhaka,Dhaka,ECO,ESS
BIO-1,MIC-2,,5,5,ban,Dhaka,Dhaka,BIO,MNS
ECO-1,BBA-2,PHR-3,5,4.8,ban,Dinajpur,Dinajpur,PHR,Pharmacy
ARC-1,EEE-2,,5,3.9,ban,Dhaka,Dhaka,ARC,Architecture
CSE-1,EEE-2,LLB-3,5,4.4,ban,Dhaka,Dhaka,LLB,School_of_Law
CSE-1,ECE-2,EEE-3,4.88,5,ban,Chittagong,Chittagong,ECE,ElectricalandElectronicEngr
LLB-1,BBA-2,CSE-3,5,,ban,Rajshahi,Rajshahi,LLB,School_of_Law
ANT-1,,,3,3,eng,,,ANT,ESS
ANT-1,ENG-2,LLB-3,4.6,2.5,eng,,,ANT,ESS
CSE-1,ECE-2,PHR-3,5,5,ban,Dhaka,Dhaka,PHR,Pharmacy
BBA-1,ENG-2,LLB-3,4.81,5,ban,Dhaka,Dhaka,LLB,School_of_Law
